,year,make,model,trim,body,transmission,state,condition,odometer,color,interior,sellingprice,saleyear
2608,2011,Nissan,Altima,2.5,Sedan,automatic,ca,2.8,55991.0,blue,black,10500,2014
2609,2011,Nissan,Leaf,SL,Hatchback,automatic,ca,4.2,19621.0,—,gray,12000,2014
2610,2011,Nissan,Sentra,2.0 S,Sedan,automatic,ca,3.6,59597.0,blue,beige,9300,2014
2611,2010,Chevrolet,Traverse,LT2,SUV,automatic,ca,2.7,78175.0,beige,black,12900,2014
2614,2011,Toyota,Camry,LE,Sedan,automatic,ca,2.6,49997.0,white,gray,10750,2014
2616,2011,Toyota,Camry,LE,Sedan,automatic,ca,2.8,37086.0,gold,gray,9250,2015
2617,2010,BMW,3 Series,328i,Coupe,automatic,ca,2.3,47318.0,white,black,14400,2014
2619,2011,Nissan,Leaf,SL,Hatchback,automatic,ca,2.8,28736.0,black,gray,10500,2014
2620,2011,Ram,1500,ST,Quad Cab,automatic,ca,4.4,101607.0,silver,black,17800,2014
2621,2011,Ram,1500,ST,Quad Cab,automatic,ca,3.9,30647.0,red,gray,14100,2014
2622,2010,Cadillac,CTS,Performance,Sedan,automatic,ca,3.5,63796.0,black,black,14900,2014
2623,2011,Volvo,V50,T5 R-Design,Wagon,automatic,ca,3.8,56306.0,gray,black,8800,2014
2624,2011,Ram,1500,SLT,Quad Cab,automatic,ca,4.1,97713.0,silver,—,12250,2014
2625,2010,Chevrolet,Camaro,LS,Coupe,automatic,ca,2.7,65404.0,silver,black,13500,2014
2626,2010,BMW,1 Series,128i,Convertible,automatic,ca,4.4,19448.0,white,tan,19000,2014
2628,2011,Volkswagen,Jetta,Base,Sedan,automatic,ca,1.0,33187.0,gray,black,6800,2014
2630,2010,Chevrolet,Camaro,2LT,Coupe,automatic,ca,2.8,91337.0,black,gray,14200,2015
2631,2011,Toyota,Prius,Three,Hatchback,automatic,ca,3.4,41859.0,red,beige,15500,2014
2632,2011,Nissan,Maxima,3.5 SV,Sedan,automatic,ca,4.3,30083.0,black,black,18000,2014
2633,2011,Nissan,Murano,SV,SUV,automatic,ca,3.5,53770.0,gray,black,15400,2014
2634,2011,Nissan,Leaf,SL,Hatchback,automatic,ca,3.5,29377.0,black,beige,9500,2015
2635,2011,Volkswagen,Jetta,SE PZEV,Sedan,automatic,ca,3.2,60318.0,white,black,7700,2014
2636,2011,Toyota,Tacoma,PreRunner V6,Double Cab,automatic,ca,4.2,44257.0,white,gray,23000,2014
2637,2011,Nissan,Maxima,3.5 SV,Sedan,automatic,ca,3.3,31000.0,gray,black,18250,2014
2638,2011,Nissan,Rogue,SV,SUV,automatic,ca,2.9,55481.0,silver,black,16500,2014
2639,2011,Toyota,Avalon,Base,Sedan,automatic,ca,2.7,74871.0,—,beige,12500,2015
2640,2010,Acura,RDX,Base,SUV,automatic,ca,2.8,80198.0,silver,beige,14600,2014
2642,2011,Nissan,Versa,1.8 S,Sedan,automatic,ca,3.3,52444.0,black,black,7000,2014
2643,2011,Volkswagen,Jetta,SE PZEV,Sedan,automatic,ca,1.0,82644.0,—,black,6200,2014
2646,2010,Ford,Focus,SE,Sedan,automatic,ca,2.7,80880.0,red,black,6100,2014
2647,2010,Honda,Civic,LX,Sedan,automatic,ca,2.0,153354.0,gray,gray,5600,2014
2648,2010,Ford,F-150,XL,Regular Cab,automatic,ca,2.0,140738.0,white,tan,4100,2014
2649,2010,Ford,F-250 Super Duty,XL,SuperCab,automatic,ca,2.8,107271.0,white,gray,8750,2014
2650,2010,Dodge,Grand Caravan,SXT,Minivan,automatic,ca,1.9,120071.0,silver,black,4700,2014
2651,2010,Jeep,Commander,Limited,SUV,automatic,ca,2.8,109977.0,black,black,10500,2014
2652,2010,Mercedes-Benz,C-Class,C300 Sport,Sedan,automatic,ca,3.5,34107.0,black,black,16750,2014
2653,2010,Nissan,Sentra,2,Sedan,automatic,ca,2.8,43729.0,silver,gray,9100,2014
2655,2010,Honda,Odyssey,EX-L,Minivan,automatic,ca,3.3,82376.0,silver,gray,13500,2014
2656,2010,Honda,Accord,LX-P,Sedan,automatic,ca,3.5,120844.0,silver,black,8800,2014
2659,2010,Jeep,Patriot,Sport,SUV,automatic,ca,2.8,96810.0,black,black,5800,2014
2660,2010,Hyundai,Elantra,GLS,Sedan,automatic,ca,3.8,60631.0,black,gray,7700,2014
2661,2010,Toyota,RAV4,Sport,SUV,automatic,ca,3.7,76648.0,gray,black,13900,2014
2663,2010,MINI,Cooper,Base,Convertible,automatic,ca,4.1,25601.0,red,black,12250,2014
2664,2010,Nissan,Altima Hybrid,Base,Sedan,automatic,ca,2.6,82088.0,silver,black,8800,2014
2665,2010,Infiniti,G37 Convertible,Base,G37 Convertible,automatic,ca,4.6,25212.0,black,gray,24750,2014
2666,2010,Volkswagen,CC,Sport PZEV,Sedan,manual,ca,1.0,102667.0,—,beige,4700,2014
2667,2010,Nissan,Frontier,SE,Crew Cab,automatic,ca,2.8,160351.0,silver,gray,8500,2014
2668,2010,Ford,Expedition,EL Limited,SUV,automatic,ca,3.9,89856.0,black,black,18600,2014
2669,2010,Ford,Focus,SE,Sedan,manual,ca,3.8,90395.0,white,black,5400,2014
2670,2010,Mazda,Mazda3,s Sport,Sedan,automatic,ca,1.9,73406.0,white,black,7000,2014
2672,2010,Ford,Escape,Limited,SUV,automatic,ca,1.9,86804.0,black,beige,6700,2014
2673,2009,Acura,MDX,Base,SUV,automatic,ca,4.2,100258.0,white,tan,18250,2014
2675,2010,Lincoln,MKT,Base,Wagon,automatic,ca,3.2,99656.0,burgundy,black,12400,2015
2676,2010,Toyota,Sequoia,Platinum,SUV,automatic,ca,3.0,67475.0,black,gray,24500,2015
2677,2010,Jeep,Wrangler,Unlimited Sport,SUV,automatic,ca,3.4,66137.0,silver,gray,19200,2015
2678,2010,Nissan,Altima,3.5 SR,Sedan,automatic,ca,2.0,53207.0,black,black,9600,2014
2679,2010,Honda,Odyssey,EX-L,Minivan,automatic,ca,2.4,68318.0,black,gray,13250,2015
2680,2010,Honda,Accord,LX-P,Sedan,automatic,ca,2.0,47601.0,gray,black,10300,2014
2681,2009,Acura,TL,SH-AWD,Sedan,automatic,ca,3.8,69666.0,blue,beige,18200,2014
2683,2010,Volkswagen,GTI,PZEV,Hatchback,manual,ca,3.6,104035.0,black,black,9200,2014
2684,2010,Toyota,Camry,LE,Sedan,automatic,ca,2.6,105802.0,white,gray,9000,2014
2685,2010,Mercedes-Benz,GL-Class,GL450 4MATIC,SUV,automatic,ca,3.4,57483.0,black,black,26250,2014
2687,2010,Toyota,Corolla,S,Sedan,automatic,ca,2.9,41304.0,white,black,10300,2014
2689,2010,Honda,Accord,LX,Sedan,automatic,ca,2.0,71443.0,silver,black,10000,2014
2691,2010,Toyota,Tundra,Tundra Grade,CrewMax Cab,automatic,ca,2.6,86735.0,white,beige,18000,2014
2692,2010,Jeep,Wrangler,Unlimited Sport,SUV,automatic,ca,2.9,62594.0,red,gray,17500,2014
2694,2010,Mercedes-Benz,S-Class,S550,Sedan,automatic,ca,3.9,33638.0,black,brown,38000,2014
2695,2010,Mercedes-Benz,E-Class,E350,Sedan,automatic,ca,3.1,61131.0,black,black,23250,2014
2696,2010,Lincoln,MKX,Base,SUV,automatic,ca,3.8,42774.0,white,black,17500,2014
2697,2010,Mazda,Mazda3,s Grand Touring,Sedan,automatic,ca,4.1,65910.0,black,black,11000,2014
2698,2010,Ford,F-150,XL,SuperCab,automatic,ca,1.0,87443.0,silver,beige,8600,2014
2699,2010,Mercedes-Benz,E-Class,E350,Sedan,automatic,ca,4.3,43888.0,white,off-white,23500,2015
2700,2010,Mercedes-Benz,S-Class,S600,Sedan,automatic,ca,3.6,41155.0,black,black,47000,2014
2701,2010,Honda,Civic,LX,Sedan,automatic,ca,2.3,64175.0,white,beige,8100,2014
2702,2010,Mercedes-Benz,S-Class,S600,Sedan,automatic,ca,4.6,51023.0,—,black,40000,2015
2703,2010,Toyota,Corolla,LE,Sedan,automatic,ca,2.5,38491.0,silver,gray,11100,2014
2704,2009,Acura,MDX,Base,SUV,automatic,ca,2.8,126411.0,silver,beige,13000,2015
2705,2010,Ford,Focus,SE,Sedan,automatic,ca,3.6,49974.0,blue,gray,7700,2014
2706,2010,Ford,F-150,XLT,SuperCab,automatic,ca,4.7,61616.0,white,black,34250,2014
2707,2010,Jeep,Compass,Sport,SUV,automatic,ca,3.4,95161.0,orange,black,6600,2014
2708,2010,Nissan,Murano,SL,SUV,automatic,ca,3.5,40051.0,burgundy,black,12500,2014
2709,2010,Honda,Civic,LX,Sedan,automatic,ca,3.4,92060.0,silver,gray,8400,2014
2710,2010,Toyota,Highlander,Base,SUV,automatic,ca,2.2,112920.0,white,beige,11300,2014
2711,2010,Honda,Pilot,Touring,SUV,automatic,ca,4.7,72985.0,white,gray,21000,2014
2712,2010,Infiniti,G37 Convertible,Base,G37 Convertible,automatic,ca,4.1,45009.0,purple,gray,21000,2014
2713,2010,Ford,F-150,XLT,SuperCrew,automatic,ca,2.0,90017.0,white,gray,15000,2014
2714,2010,Kia,Forte,EX,Sedan,automatic,ca,3.9,47266.0,white,purple,9000,2014
2715,2010,Mercedes-Benz,C-Class,C300 Sport,Sedan,automatic,ca,2.8,32005.0,white,black,19000,2014
2717,2010,Jeep,Wrangler,Sport,SUV,manual,ca,1.9,106389.0,silver,black,9900,2015
2718,2010,Volkswagen,Tiguan,SE,SUV,automatic,ca,4.3,89705.0,white,black,8600,2014
2721,2010,Nissan,Cube,1.8 SL,Wagon,manual,ca,2.9,109785.0,blue,black,5000,2014
2722,2010,Honda,Odyssey,LX,Minivan,automatic,ca,2.7,79116.0,white,tan,12500,2014
2724,2010,Mazda,Mazda3,i Sport,Sedan,automatic,ca,3.7,75707.0,gray,black,8400,2014
2725,2010,Mitsubishi,Outlander,ES,SUV,automatic,ca,4.4,31776.0,black,black,10100,2014
2726,2010,Volkswagen,Jetta,Wolfsburg Edition PZEV,Sedan,manual,ca,1.0,88181.0,white,black,4500,2014
2727,2010,Kia,Forte,EX,Sedan,automatic,ca,3.1,45439.0,silver,gray,6400,2014
2730,2010,Scion,xB,Base,Wagon,automatic,ca,2.0,85988.0,silver,black,7300,2014
2731,2010,Volkswagen,New Beetle,2.5L Red Rock Edition PZEV,Hatchback,automatic,ca,3.1,65937.0,white,tan,7100,2014
2732,2010,Ford,Fusion Hybrid,Base,Sedan,automatic,ca,3.1,71555.0,gray,black,10500,2014
2733,2010,Jeep,Compass,Sport,SUV,automatic,ca,3.9,77970.0,orange,black,8900,2014
2734,2010,Ford,Focus,SE,Sedan,automatic,ca,1.9,57155.0,green,tan,6100,2014
2735,2010,Ford,F-250 Super Duty,Lariat,Crew Cab,automatic,ca,3.9,75647.0,white,beige,32000,2014
2736,2010,Ford,Escape,XLS,SUV,automatic,ca,3.5,83364.0,black,tan,8200,2014
2737,2010,Ford,E-Series Wagon,E-350 Super Duty XL,Van,automatic,ca,3.4,125433.0,silver,gray,10500,2014
2738,2010,Volvo,XC90,3.2 R-Design,SUV,automatic,ca,4.3,47650.0,white,black,16000,2014
2739,2010,Ford,Mustang,V6,Convertible,automatic,ca,3.4,56296.0,red,tan,11400,2014
2740,2010,Toyota,Corolla,LE,Sedan,automatic,ca,3.6,39958.0,gold,tan,10500,2015
2741,2010,Volkswagen,Golf,2.5L PZEV,Hatchback,automatic,ca,4.8,72408.0,white,black,9400,2014
2742,2010,Honda,Accord,EX,Sedan,automatic,ca,3.7,55424.0,black,beige,12500,2014
2743,2010,Ford,Escape,XLT,SUV,automatic,ca,4.3,51837.0,gray,black,11000,2014
2744,2010,Ford,F-150,XLT,SuperCrew,automatic,ca,1.9,19591.0,blue,beige,11000,2015
2745,2009,Audi,A3,2.0T quattro,Wagon,automatic,ca,2.8,78254.0,black,black,14250,2014
2747,2010,Ford,Mustang,V6,Convertible,automatic,ca,1.9,99133.0,white,brown,8600,2015
2748,2010,GMC,Terrain,SLE-1,SUV,automatic,ca,4.4,43653.0,white,black,15100,2014
2749,2010,Nissan,370Z,Base,Convertible,manual,ca,3.9,71287.0,red,black,17500,2014
2750,2010,Honda,Accord Crosstour,EX-L,Hatchback,automatic,ca,4.5,29870.0,white,black,16750,2014
2751,2010,Ford,F-150,Harley-Davidson,SuperCrew,automatic,ca,4.9,22200.0,black,black,34250,2014
2752,2010,Volkswagen,CC,Sport,Sedan,automatic,ca,2.0,130668.0,—,beige,4600,2015
2753,2010,Nissan,Sentra,2.0 SR,Sedan,automatic,ca,2.0,94622.0,red,gray,5500,2014
2754,2010,Hyundai,Elantra,GLS,Sedan,automatic,ca,4.2,33039.0,silver,gray,8500,2014
2755,2010,Honda,Accord,LX,Sedan,automatic,ca,3.2,39673.0,blue,gray,11700,2014
2756,2010,Mazda,Mazda3,i Touring,Sedan,automatic,ca,3.3,85861.0,gray,black,8250,2014
2757,2010,Toyota,Highlander,Base,SUV,automatic,ca,3.9,91308.0,black,gray,13400,2014
2758,2010,Ford,Focus,SE,Sedan,automatic,ca,1.9,106781.0,white,gray,900,2014
2759,2010,Toyota,Prius,III,Hatchback,automatic,ca,1.9,113815.0,silver,gray,10400,2014
2760,2010,Honda,Civic,DX-VP,Sedan,automatic,ca,3.9,69743.0,silver,gray,9800,2014
2761,2010,Volvo,XC70,3.2,Wagon,automatic,ca,3.7,58477.0,black,beige,18000,2014
2762,2010,Honda,CR-V,EX-L,SUV,automatic,ca,4.0,47337.0,gray,black,16000,2014
2763,2010,Toyota,Corolla,LE,Sedan,automatic,ca,3.4,53075.0,silver,gray,10400,2014
2764,2010,Honda,Odyssey,LX,Minivan,automatic,ca,2.8,62522.0,gray,gray,13000,2015
2766,2010,Dodge,Journey,SE,SUV,automatic,ca,3.6,65963.0,black,black,8800,2014
2767,2010,Mercedes-Benz,S-Class,S550,Sedan,automatic,ca,3.4,81926.0,black,black,31000,2015
2768,2010,Ford,Edge,Limited,SUV,automatic,ca,4.5,85379.0,silver,black,14300,2014
2769,2010,Honda,Civic,LX,Sedan,automatic,ca,2.8,96183.0,silver,gray,8400,2014
2770,2010,Infiniti,QX56,Base,SUV,automatic,ca,4.9,62838.0,white,tan,28250,2014
2771,2010,Mazda,Mazda3,i Sport,Sedan,automatic,ca,1.9,55628.0,black,black,7000,2014
2772,2010,Toyota,Corolla,S,Sedan,automatic,ca,3.6,43285.0,white,black,11000,2014
2773,2010,Honda,Civic,LX,Sedan,automatic,ca,3.6,81054.0,gray,gray,9500,2014
2775,2010,Volvo,XC60,T6 R-Design,SUV,automatic,ca,3.1,67725.0,blue,beige,15500,2014
2776,2010,Dodge,Journey,SXT,SUV,automatic,ca,2.8,124914.0,silver,black,6100,2015
2777,2010,Mercedes-Benz,S-Class,S550,Sedan,automatic,ca,3.7,45188.0,silver,black,36000,2014
2778,2010,Kia,Optima,LX,Sedan,automatic,ca,2.6,57354.0,black,gray,7250,2015
2779,2010,Mercedes-Benz,M-Class,ML350,SUV,automatic,ca,4.2,57938.0,green,beige,21750,2014
2780,2010,Kia,Soul,!,Wagon,automatic,ca,2.1,99273.0,white,black,7300,2014
2781,2010,Ford,Transit Connect,Cargo Van XLT,Minivan,automatic,ca,3.0,95910.0,white,gray,7000,2014
2782,2010,Subaru,Impreza,2.5i,Hatchback,automatic,ca,3.4,48391.0,charcoal,black,10750,2014
2783,2010,Land Rover,Range Rover,HSE,SUV,automatic,ca,3.5,35561.0,white,tan,28500,2014
2785,2010,Mercedes-Benz,GLK-Class,GLK350,SUV,automatic,ca,3.1,77517.0,silver,black,16500,2014
2786,2010,Honda,Accord,LX,Sedan,automatic,ca,2.1,113560.0,—,black,6900,2014
2787,2010,Mercedes-Benz,GL-Class,GL450 4MATIC,SUV,automatic,ca,3.9,54812.0,black,black,26750,2014
2788,2010,Honda,Civic,EX,Coupe,automatic,ca,4.5,99975.0,gray,gray,8900,2014
2789,2010,Toyota,Camry,XLE,Sedan,automatic,ca,2.9,92671.0,black,gray,9800,2014
2790,2010,Land Rover,LR2,HSE,SUV,automatic,ca,4.2,58341.0,black,black,17500,2014
2792,2010,Toyota,Camry,Base,Sedan,automatic,ca,1.9,88599.0,white,black,8000,2014
2793,2010,Jeep,Grand Cherokee,Laredo,SUV,automatic,ca,3.5,61334.0,silver,black,13200,2014
2794,2010,Dodge,Journey,SXT,SUV,automatic,ca,3.4,73745.0,black,gray,8600,2014
2795,2010,Mitsubishi,Lancer Sportback,GTS,Hatchback,automatic,ca,1.9,95457.0,blue,black,4000,2014
2796,2010,Hyundai,Accent,Blue,Hatchback,manual,ca,2.0,52373.0,white,gray,3600,2014
2797,2010,Kia,Sportage,LX,SUV,automatic,ca,2.8,93899.0,white,beige,7100,2015
2798,2010,Infiniti,QX56,Base,SUV,automatic,ca,3.9,72694.0,white,gray,25750,2014
2799,2010,Toyota,Venza,Base,Wagon,automatic,ca,1.0,72930.0,blue,tan,4500,2015
2800,2010,Land Rover,LR2,HSE,SUV,automatic,ca,2.9,47273.0,white,beige,15750,2014
2801,2010,Toyota,Tundra,Tundra Grade,CrewMax Cab,automatic,ca,2.7,116604.0,gray,gray,14600,2014
2802,2010,Mercedes-Benz,S-Class,S63 AMG,Sedan,automatic,ca,2.9,45527.0,silver,black,43000,2014
2803,2010,Ford,Focus,S,Sedan,automatic,ca,2.8,97238.0,white,gray,5100,2014
2804,2010,Ford,F-150,XLT,SuperCab,automatic,ca,1.0,141217.0,silver,beige,9350,2014
2805,2010,Honda,Civic,DX-VP,Sedan,automatic,ca,2.7,65214.0,blue,gray,8800,2014
2806,2010,Infiniti,G37 Convertible,Base,G37 Convertible,automatic,ca,3.9,58266.0,white,beige,21000,2014
2807,2009,Nissan,Maxima,3.5 SV,Sedan,automatic,ca,2.0,54197.0,black,black,10700,2014
2808,2009,Hyundai,Sonata,GLS,Sedan,automatic,ca,2.3,126592.0,black,gray,2700,2015
2809,2009,smart,fortwo,BRABUS coupe,Hatchback,automatic,ca,2.3,36244.0,red,red,3500,2014
2810,2009,Pontiac,G5,Base,Coupe,automatic,ca,2.6,123631.0,gray,black,3600,2014
2811,2009,Volkswagen,GTI,Base,Hatchback,automatic,ca,4.4,76639.0,black,gray,11300,2014
2812,2009,GMC,Yukon XL,Denali,SUV,automatic,ca,3.0,103138.0,black,black,17000,2014
2813,2009,Toyota,RAV4,Base,SUV,automatic,ca,2.1,193409.0,white,gray,7800,2014
2814,2009,Cadillac,Escalade Hybrid,Base,SUV,automatic,ca,3.1,64944.0,black,beige,28000,2014
2815,2009,Ford,F-150,Lariat,SuperCrew,automatic,ca,4.5,105312.0,white,beige,17300,2014
2816,2009,Toyota,Camry,Base,Sedan,automatic,ca,1.9,134995.0,gray,silver,7000,2014
2817,2009,Nissan,Versa,1.8 SL,Hatchback,automatic,ca,1.9,59665.0,blue,beige,4500,2014
2818,2009,Mazda,Mazda6,i SV,Sedan,automatic,ca,3.4,92488.0,blue,gray,7400,2014
2819,2009,Chevrolet,Tahoe,LTZ,SUV,automatic,ca,3.8,156406.0,black,black,14250,2014
2820,2009,Audi,A4,2.0T Premium quattro ,Sedan,automatic,ca,2.9,59602.0,silver,black,16000,2014
2821,2009,Mercedes-Benz,GL-Class,GL550,SUV,automatic,ca,3.9,73291.0,black,beige,24500,2014
2822,2009,Ford,Ranger,XL,Regular Cab,automatic,ca,2.0,312235.0,white,gray,2000,2015
2823,2009,Chevrolet,Silverado 2500HD,Work Truck,Crew Cab,automatic,ca,3.6,38822.0,white,gray,20000,2014
2824,2009,Mercedes-Benz,GL-Class,GL450,SUV,automatic,ca,4.7,51714.0,black,black,27750,2014
2825,2009,Dodge,Journey,SE,SUV,automatic,ca,2.8,104123.0,black,black,5000,2014
2826,2009,Chevrolet,Silverado 2500HD,Work Truck,Crew Cab,automatic,ca,2.9,39498.0,white,gray,21000,2014
2827,2009,Toyota,Corolla,Base,Sedan,automatic,ca,3.1,79618.0,silver,gray,8200,2014
2828,2009,Mazda,CX-9,Grand Touring,SUV,automatic,ca,3.1,140689.0,white,gray,8000,2014
2829,2009,Dodge,Journey,SXT,SUV,automatic,ca,2.1,147998.0,gray,beige,4300,2014
2830,2009,Ford,Escape,XLT,SUV,automatic,ca,4.2,106874.0,silver,tan,7000,2014
2831,2009,Ford,Focus,SEL,Sedan,automatic,ca,3.5,96588.0,silver,black,7300,2014
2832,2009,Chevrolet,Avalanche,LT1,Crew Cab,automatic,ca,2.1,74387.0,blue,black,16500,2014
2833,2009,BMW,3 Series,328i,Sedan,automatic,ca,3.4,86571.0,gray,black,11500,2014
2834,2009,Mitsubishi,Lancer,ES-Sport,Sedan,manual,ca,2.3,118427.0,gray,black,6000,2014
2836,2009,Honda,Accord,LX-P,Sedan,automatic,ca,2.6,133309.0,gray,black,7800,2014
2838,2009,Mercedes-Benz,M-Class,ML350 4MATIC,SUV,automatic,ca,2.7,71108.0,silver,black,18500,2014
2839,2009,Jaguar,XF,Premium Luxury,Sedan,automatic,ca,3.5,100856.0,green,beige,13250,2014
2840,2009,BMW,5 Series,528i xDrive,Sedan,automatic,ca,4.4,41128.0,black,off-white,17800,2014
2841,2009,BMW,X5,xDrive48i,SUV,automatic,ca,2.8,79957.0,black,black,18750,2014
2842,2009,Honda,CR-V,EX,SUV,automatic,ca,3.7,90637.0,white,gray,11700,2014
2843,2009,BMW,3 Series,328i,Sedan,automatic,ca,4.2,60755.0,white,gray,14500,2014
2844,2009,Honda,CR-V,EX-L,SUV,automatic,ca,1.9,84832.0,black,black,9000,2014
2845,2009,MINI,Cooper,S,Hatchback,automatic,ca,2.0,108096.0,gray,black,4600,2014
2846,2009,Cadillac,Escalade,Base,SUV,automatic,ca,2.6,72247.0,blue,black,25000,2014
2847,2009,Mitsubishi,Lancer,DE,Sedan,automatic,ca,3.5,51521.0,silver,black,7600,2014
2848,2009,Cadillac,Escalade Hybrid,Base,SUV,automatic,ca,2.8,170960.0,white,—,15000,2015
2849,2009,Honda,Accord,EX,Sedan,automatic,ca,2.8,78127.0,gray,gray,11000,2014
2852,2009,Toyota,Corolla,S,Sedan,automatic,ca,2.0,105473.0,red,black,4400,2014
2853,2009,Mercedes-Benz,SLK-Class,SLK350,Convertible,automatic,ca,3.5,97527.0,black,black,14000,2015
2854,2009,Jaguar,XF,Premium Luxury,Sedan,automatic,ca,3.6,58637.0,red,tan,18600,2014
2855,2009,Chevrolet,Impala,SS,Sedan,automatic,ca,1.9,101928.0,silver,black,5000,2014
2857,2009,Infiniti,QX56,Base,SUV,automatic,ca,3.9,73176.0,black,black,23200,2014
2859,2009,Mercedes-Benz,S-Class,S550,Sedan,automatic,ca,3.4,69781.0,white,brown,30250,2014
2860,2009,Toyota,Corolla,LE,Sedan,automatic,ca,2.4,67321.0,silver,gray,7250,2014
2862,2009,Audi,A4,2.0T Premium,Sedan,automatic,ca,1.0,91671.0,silver,black,7800,2014
2863,2009,Mercedes-Benz,E-Class,E350,Sedan,automatic,ca,3.8,145017.0,gray,black,9250,2014
2864,2009,Mitsubishi,Lancer,GTS,Sedan,manual,ca,3.0,42211.0,black,black,10800,2014
2866,2009,Volkswagen,Jetta,SportWagen S PZEV,Wagon,automatic,ca,1.9,66069.0,gray,black,8500,2014
2867,2009,Mercedes-Benz,E-Class,E350,Sedan,automatic,ca,3.3,95620.0,blue,beige,12300,2014
2868,2009,Chevrolet,Malibu,LT1,Sedan,automatic,ca,2.7,127609.0,silver,gray,4500,2014
2869,2009,Mercedes-Benz,M-Class,ML350 4MATIC,SUV,automatic,ca,2.3,59751.0,black,black,19000,2014
2870,2009,Chevrolet,HHR,LT,Wagon,automatic,ca,3.8,139959.0,silver,gray,3600,2014
2871,2009,Chevrolet,Impala,LT,Sedan,automatic,ca,4.1,110430.0,silver,black,6000,2014
2875,2009,BMW,X5,xDrive30i,SUV,automatic,ca,4.0,76020.0,black,black,16750,2014
2876,2009,BMW,M3,Base,Coupe,automatic,ca,3.9,62568.0,black,black,30250,2014
2877,2009,Chevrolet,Suburban,1500 LTZ,SUV,automatic,ca,3.3,142899.0,black,black,12500,2014
2878,2009,Chrysler,Town and Country,LX,Minivan,automatic,ca,2.1,163365.0,red,gray,3400,2014
2879,2009,Toyota,Camry Hybrid,Base,Sedan,automatic,ca,3.2,152263.0,silver,gray,6300,2015
2880,2009,Dodge,Grand Caravan,SXT,Minivan,automatic,ca,2.8,65049.0,blue,gray,9400,2014
2881,2009,Kia,Spectra,EX,Sedan,automatic,ca,3.8,106090.0,gold,tan,3700,2014
2883,2009,BMW,3 Series,328i,Sedan,automatic,ca,2.2,162746.0,black,black,6750,2014
2884,2009,Kia,Rondo,LX,Wagon,automatic,ca,3.5,49995.0,silver,gray,6500,2015
2885,2009,Kia,Borrego,LX,SUV,automatic,ca,3.5,68114.0,orange,gray,9800,2014
2887,2009,Nissan,Maxima,3.5 S,Sedan,automatic,ca,2.8,51560.0,white,black,13400,2014
2888,2009,Toyota,Camry,SE,Sedan,automatic,ca,2.0,134470.0,black,gray,7000,2014
2889,2009,Chrysler,Sebring,LX,Sedan,automatic,ca,1.9,71042.0,white,gray,4000,2014
2891,2009,Chrysler,Town and Country,LX,Minivan,automatic,ca,3.7,95305.0,white,gray,5700,2014
2894,2009,Toyota,Corolla,LE,Sedan,automatic,ca,3.6,83334.0,white,beige,9100,2014
2895,2009,Honda,Civic,LX,Sedan,automatic,ca,1.9,71988.0,black,gray,7100,2014
2896,2009,Mercedes-Benz,G-Class,G550,SUV,automatic,ca,5.0,43506.0,black,black,66500,2015
2897,2009,Chevrolet,Aveo,2LT,Sedan,automatic,ca,3.4,76092.0,red,gray,3900,2014
2898,2009,Chevrolet,Equinox,LT,SUV,automatic,ca,3.0,104184.0,burgundy,gray,4700,2014
2900,2009,Ford,Fusion,S,Sedan,automatic,ca,1.9,94354.0,black,beige,3300,2014
2901,2009,Nissan,370Z,Base,Coupe,automatic,ca,2.7,84969.0,silver,gray,13100,2014
2902,2009,Ford,F-150,XLT,SuperCrew,automatic,ca,1.9,87659.0,black,gray,15000,2014
2903,2009,Nissan,Murano,LE,SUV,automatic,ca,3.8,91971.0,silver,black,12800,2014
2904,2009,GMC,Acadia,SLT-2,SUV,automatic,ca,2.8,124516.0,gray,gray,10300,2015
2905,2009,Lincoln,MKS,Base,Sedan,automatic,ca,3.7,90270.0,blue,tan,10800,2014
2906,2009,Chevrolet,HHR,LT,Wagon,automatic,ca,3.4,92302.0,gray,tan,5600,2015
2907,2009,Jaguar,XF,Supercharged,Sedan,automatic,ca,2.0,55314.0,gray,black,13000,2014
2908,2009,Lincoln,MKS,Base,Sedan,automatic,ca,3.4,54466.0,silver,black,15000,2014
2909,2009,Kia,Rio,LX,Sedan,automatic,ca,2.0,106229.0,red,black,2700,2014
2910,2009,Mercedes-Benz,CLK-Class,CLK550,Convertible,automatic,ca,4.3,59589.0,black,gray,15000,2014
2911,2009,Chevrolet,Tahoe,LTZ,SUV,automatic,ca,3.8,132335.0,white,beige,15500,2014
2912,2009,Volkswagen,Jetta,TDI Loyal Edition,Sedan,automatic,ca,2.6,67232.0,black,black,11100,2014
2913,2009,Chevrolet,Tahoe Hybrid,Base,SUV,automatic,ca,2.4,112297.0,black,black,16000,2014
2914,2009,Honda,Fit,Base,Hatchback,automatic,ca,3.1,44016.0,red,gray,8700,2014
2915,2009,Ford,Flex,Limited,Wagon,automatic,ca,4.1,91190.0,gray,black,13250,2014
2916,2009,Subaru,Impreza,WRX,Hatchback,manual,ca,3.5,64423.0,blue,black,15000,2014
2917,2009,Kia,Spectra,EX,Sedan,automatic,ca,1.9,75430.0,black,beige,3500,2014
2918,2009,Mercedes-Benz,C-Class,C300 Luxury,Sedan,automatic,ca,4.2,58123.0,gray,black,17100,2014
2919,2009,Toyota,Corolla,S,Sedan,automatic,ca,3.7,55475.0,red,gray,7600,2014
